price,bed,bath,carport,surface_area(m2),building_area(m2),location
3800000000.0,3,3,1,199.0,206.0,3
297000000.0,2,1,1,75.0,45.0,0
400000000.0,2,1,1,90.0,50.0,0
1450000000.0,3,3,1,110.0,129.0,4
400000000.0,2,1,1,90.0,50.0,0
580000000.0,3,2,1,101.0,70.0,4
850000000.0,3,2,1,102.0,65.0,0
850000000.0,3,2,1,102.0,65.0,0
2120000000.0,4,4,2,120.0,150.0,0
2120000000.0,4,4,2,120.0,150.0,0
808000000.0,3,2,2,85.0,45.0,0
690000000.0,3,2,2,78.0,60.0,0
675000000.0,2,1,1,85.0,45.0,0
1250000000.0,10,4,1,128.0,200.0,3
870000000.0,3,2,1,135.0,80.0,3
2600000000.0,4,3,2,150.0,190.0,4
2300000000.0,8,9,2,98.0,120.0,3
299000000.0,2,1,1,74.0,74.0,3
385000000.0,3,2,1,63.0,80.0,3
900000000.0,3,2,1,133.0,80.0,3
1300000000.0,3,3,1,135.0,85.0,4
280000000.0,2,1,1,88.0,36.0,3
250000000.0,2,1,1,88.0,36.0,3
1750000000.0,3,2,1,131.0,160.0,3
4600000000.0,5,3,3,443.0,177.0,3
900000000.0,2,2,1,108.0,60.0,3
595000000.0,3,1,1,93.0,60.0,0
852000000.0,4,2,1,142.0,200.0,3
700000000.0,3,2,1,106.0,70.0,3
2300000000.0,8,8,2,98.0,120.0,3
1290000000.0,4,3,2,99.0,105.0,0
375000000.0,2,1,1,72.0,72.0,3
1470000000.0,4,4,2,178.0,131.0,3
2500000000.0,3,2,1,123.0,150.0,3
495000000.0,3,1,1,141.0,60.0,0
5500000000.0,4,4,2,287.0,200.0,4
700000000.0,2,2,1,100.0,90.0,3
250000000.0,2,1,1,88.0,36.0,3
580000000.0,3,2,1,100.0,80.0,3
765000000.0,3,2,1,118.0,75.0,3
1880000000.0,3,2,2,150.0,110.0,4
278000000.0,2,1,2,72.0,36.0,2
495000000.0,2,1,1,107.0,36.0,3
495000000.0,2,1,1,107.0,36.0,3
278000000.0,2,1,2,72.0,36.0,2
900000000.0,4,2,1,140.0,140.0,4
1950000000.0,3,2,2,168.0,130.0,0
897000000.0,3,2,1,107.0,91.0,3
730000000.0,3,2,2,100.0,80.0,3
513000000.0,2,1,1,79.0,76.0,1
990000000.0,3,3,1,103.0,100.0,4
278000000.0,2,1,2,71.0,36.0,2
600000000.0,1,1,1,225.0,225.0,3
